freq,sex,wstatus,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,F,TOTAL,THS_PER,HR	53.3 	48.5 	44.9 	56.0 
A,F,TOTAL,THS_PER,HU	113.0 	112.5 	112.3 	115.8 
A,F,TOTAL,THS_PER,IE	108.6 	116.2 	122.0 	143.8 
A,F,TOTAL,THS_PER,IT	686.3 	696.0 	740.9 	764.7 
A,F,TOTAL,THS_PER,LT	77.2 	75.4 	79.2 	77.4 
A,F,TOTAL,THS_PER,LU	13.0 	13.2 	14.0 	14.1 
A,F,TOTAL,THS_PER,LV	34.4 	33.0 	36.3 	34.4 
A,F,TOTAL,THS_PER,MT	5.9 	5.5 	6.9 	9.1 
A,F,TOTAL,THS_PER,NL	212.1 	215.7 	236.7 	235.7 
A,F,TOTAL,THS_PER,PL	651.3 	667.0 	734.2 	741.9 
A,F,TOTAL,THS_PER,PT	147.1 	149.9 	151.2 	167.9 
A,F,TOTAL,THS_PER,RO	222.2 	229.7 	219.1 	237.0 
A,F,TOTAL,THS_PER,SE	236.1 	246.5 	256.0 	276.1 
A,F,TOTAL,THS_PER,SI	35.6 	37.1 	31.2 b	32.2 
A,F,TOTAL,THS_PER,SK	87.1 	86.3 	87.9 	77.6 
A,F,UNE,PC_POP,AT	4.03 u	5.33 u	4.00 u	6.91 
A,F,UNE,PC_POP,BE	3.54 	2.07 u	4.43 	2.88 u
A,F,UNE,PC_POP,BG	: u	: u	: u	: bu
A,F,UNE,PC_POP,CY	5.42 u	5.56 u	7.53 u	9.45 u
A,F,UNE,PC_POP,CZ	0.74 u	1.23 u	2.72 u	1.50 u
A,F,UNE,PC_POP,DE	4.69 	5.15 	4.88 	5.52 
A,F,UNE,PC_POP,DK	5.28 u	4.94 u	4.77 bu	4.48 
A,F,UNE,PC_POP,EE	7.94 u	9.44 u	8.47 u	8.39 u
A,F,UNE,PC_POP,EL	5.20 	5.13 	5.56 	4.61 
A,F,UNE,PC_POP,ES	3.84 d	2.92 d	3.58 d	4.45 d
A,F,UNE,PC_POP,FI	3.96 u	3.68 u	5.63 u	5.01 u
A,F,UNE,PC_POP,FR	3.02 d	3.72 d	3.54 d	2.93 d
A,F,UNE,PC_POP,HR	2.53 u	1.72 u	2.22 u	5.94 u
A,F,UNE,PC_POP,HU	: u	: u	: u	: u
A,F,UNE,PC_POP,IE	: u	: u	10.04 u	10.59 u
A,F,UNE,PC_POP,IT	2.19 	2.17 	2.30 	2.20 
A,F,UNE,PC_POP,LT	5.60 u	5.45 u	6.92 u	6.06 u
A,F,UNE,PC_POP,LU	5.49 u	8.33 u	: u	: u
A,F,UNE,PC_POP,LV	: u	9.47 u	: u	: u
A,F,UNE,PC_POP,MT	: u	: u	: u	: u
A,F,UNE,PC_POP,NL	2.57 	4.81 	5.14 	4.54 
A,F,UNE,PC_POP,PL	: u	: u	4.49 u	4.86 u
A,F,UNE,PC_POP,PT	3.00 u	4.23 u	2.89 u	4.17 u
A,F,UNE,PC_POP,RO	: u	: u	: u	: u
A,F,UNE,PC_POP,SE	4.07 	3.22 	4.79 	7.55 
A,F,UNE,PC_POP,SI	5.22 u	: u	: bu	: u
A,F,UNE,PC_POP,SK	: u	: u	: u	: u
A,F,UNE,THS_PER,AT	5.3 u	5.3 u	4.3 u	7.3 
A,F,UNE,THS_PER,BE	5.0 	2.7 u	5.6 	3.8 u
A,F,UNE,THS_PER,BG	: u	: u	: u	: bu
A,F,UNE,THS_PER,CY	0.9 u	0.9 u	1.1 u	1.2 u
A,F,UNE,THS_PER,CZ	0.6 u	0.8 u	1.9 u	1.1 u
A,F,UNE,THS_PER,DE	29.5 	29.9 	28.2 	35.7 
A,F,UNE,THS_PER,DK	3.9 u	3.3 u	3.8 bu	4.5 
A,F,UNE,THS_PER,EE	1.5 u	1.7 u	2.1 u	2.4 u
A,F,UNE,THS_PER,EL	20.1 	17.6 	16.7 	12.4 
A,F,UNE,THS_PER,ES	70.8 d	48.1 d	56.6 d	64.9 d
A,F,UNE,THS_PER,FI	3.7 u	3.2 u	5.0 u	5.2 u
A,F,UNE,THS_PER,FR	34.5 d	39.7 d	38.5 d	32.4 d
A,F,UNE,THS_PER,HR	1.6 u	1.1 u	1.2 u	2.5 u
A,F,UNE,THS_PER,HU	: u	: u	: u	: u
A,F,UNE,THS_PER,IE	: u	: u	5.6 u	6.3 u
A,F,UNE,THS_PER,IT	24.8 	21.8 	22.1 	17.7 
A,F,UNE,THS_PER,LT	2.7 u	2.3 u	3.4 u	3.0 u
A,F,UNE,THS_PER,LU	0.5 u	0.6 u	: u	: u
A,F,UNE,THS_PER,LV	: u	2.5 u	: u	: u
A,F,UNE,THS_PER,MT	: u	: u	: u	: u
A,F,UNE,THS_PER,NL	5.3 	8.6 	9.2 	8.4 
A,F,UNE,THS_PER,PL	: u	: u	10.5 u	12.3 u
A,F,UNE,THS_PER,PT	5.3 u	7.2 u	5.3 u	7.7 u
A,F,UNE,THS_PER,RO	: u	: u	: u	: u
A,F,UNE,THS_PER,SE	9.8 	6.8 	10.3 	17.6 
A,F,UNE,THS_PER,SI	1.3 u	: u	: bu	: u
A,F,UNE,THS_PER,SK	: u	: u	: u	: u
A,M,EMP,PC_POP,AT	19.02 	19.40 	19.82 	19.54 
A,M,EMP,PC_POP,BE	15.66 	15.95 	16.22 	15.57 
A,M,EMP,PC_POP,BG	10.98 	11.38 	11.80 	12.17 b
A,M,EMP,PC_POP,CY	15.04 	15.22 	16.69 	15.80 
A,M,EMP,PC_POP,CZ	11.71 	10.28 	10.13 	11.27 
A,M,EMP,PC_POP,DE	17.71 	17.79 	17.79 	18.23 
A,M,EMP,PC_POP,DK	12.34 	11.41 	12.31 b	13.51 
A,M,EMP,PC_POP,EE	16.33 	16.60 	15.95 	15.31 
A,M,EMP,PC_POP,EL	13.55 	11.81 	12.51 	11.91 
A,M,EMP,PC_POP,ES	18.69 d	18.82 d	18.90 d	18.23 d
A,M,EMP,PC_POP,FI	18.83 	19.03 	20.12 	19.42 
A,M,EMP,PC_POP,FR	17.61 d	17.01 d	17.76 d	17.86 d
A,M,EMP,PC_POP,HR	9.99 	9.62 	10.24 	11.06 
A,M,EMP,PC_POP,HU	11.54 	11.37 	11.07 	11.22 
A,M,EMP,PC_POP,IE	16.51 	18.16 	19.16 	21.00 
A,M,EMP,PC_POP,IT	6.49 	6.47 	7.03 	7.32 
A,M,EMP,PC_POP,LT	19.97 	20.49 	20.06 	19.50 
A,M,EMP,PC_POP,LU	16.49 	16.54 	17.08 	17.68 
A,M,EMP,PC_POP,LV	12.73 	12.32 	13.90 	13.00 
A,M,EMP,PC_POP,MT	10.99 	9.96 	10.73 	11.09 
A,M,EMP,PC_POP,NL	12.46 	12.81 	12.08 	12.69 
A,M,EMP,PC_POP,PL	11.78 	12.02 	13.19 	14.18 
