freq,unit,age,sex,isced11,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,NR,TOTAL,F,ED6,HR	49409 	49101 	48408 	47756 
A,NR,TOTAL,F,ED6,HU	97253 	99787 	98384 	109125 
A,NR,TOTAL,F,ED6,IE	93324 	94617 	95041 	97695 
A,NR,TOTAL,F,ED6,IS	9536 	9516 	8790 	: 
A,NR,TOTAL,F,ED6,IT	675634 	694317 	722129 	747814 
A,NR,TOTAL,F,ED6,LI	209 	203 	: 	: 
A,NR,TOTAL,F,ED6,LT	41829 	41610 	40900 	39772 
A,NR,TOTAL,F,ED6,LU	1665 	1746 	1731 	1858 
A,NR,TOTAL,F,ED6,LV	22953 	23241 	22933 	22343 
A,NR,TOTAL,F,ED6,ME	10590 	: 	9384 	8821 
A,NR,TOTAL,F,ED6,MK	29482 	29858 	30969 	30704 
A,NR,TOTAL,F,ED6,MT	5317 bd	5633 	6262 	6281 
A,NR,TOTAL,F,ED6,NL	384205 	383336 	379055 	370815 
A,NR,TOTAL,F,ED6,NO	119413 	120138 	115461 	115631 
A,NR,TOTAL,F,ED6,PL	490241 	498985 	490434 	515306 
A,NR,TOTAL,F,ED6,PT	125700 	137088 	141674 	143330 
A,NR,TOTAL,F,ED6,RO	187871 	188491 	184156 	185908 
A,NR,TOTAL,F,ED6,RS	100893 	101099 	105184 	106625 
A,NR,TOTAL,F,ED6,SE	177134 	170626 	167662 	177994 
A,NR,TOTAL,F,ED6,SI	27212 	26807 	26196 	26363 
A,NR,TOTAL,F,ED6,SK	47634 	48249 	47697 	48767 
A,NR,TOTAL,F,ED6,TR	2135940 	2117388 	1799118 	1819720 
A,NR,TOTAL,F,ED64,AL	: d	: d	: d	: d
A,NR,TOTAL,F,ED64,AT	111123 	109724 	107065 	107299 
A,NR,TOTAL,F,ED64,BA	: m	: m	: m	: m
A,NR,TOTAL,F,ED64,BE	80856 	84198 	85161 	89533 
A,NR,TOTAL,F,ED64,BG	: m	: m	: m	: m
A,NR,TOTAL,F,ED64,CH	87928 	89099 	88080 	88364 
A,NR,TOTAL,F,ED64,CY	: m	: m	: m	: m
A,NR,TOTAL,F,ED64,CZ	97878 	100461 	101373 	102974 
A,NR,TOTAL,F,ED64,DE	815151 	810103 	808377 	794090 
A,NR,TOTAL,F,ED64,DK	42245 	41708 	40258 	39583 
A,NR,TOTAL,F,ED64,EE	: m	: m	: m	: m
A,NR,TOTAL,F,ED64,EL	283179 	291895 	297633 	304938 
A,NR,TOTAL,F,ED64,ES	: d	: d	: d	: d
A,NR,TOTAL,F,ED64,FI	: d	: m	: m	: m
A,NR,TOTAL,F,ED64,FR	508221 	510436 	493338 	486785 
A,NR,TOTAL,F,ED64,GE	: 	: 	: m	: m
A,NR,TOTAL,F,ED64,HR	30270 	30671 	30729 	31065 
A,NR,TOTAL,F,ED64,HU	: d	: d	: d	: d
A,NR,TOTAL,F,ED64,IE	: d	: d	: d	: d
A,NR,TOTAL,F,ED64,IS	: d	: d	: d	: 
A,NR,TOTAL,F,ED64,IT	: m	: m	: m	: m
A,NR,TOTAL,F,ED64,LI	209 	203 	: 	: 
A,NR,TOTAL,F,ED64,LT	23030 	22947 	23047 	22520 
A,NR,TOTAL,F,ED64,LU	941 	947 	924 	981 
A,NR,TOTAL,F,ED64,LV	9698 	10282 	10556 	10488 
A,NR,TOTAL,F,ED64,ME	9237 	: 	8205 	7779 
A,NR,TOTAL,F,ED64,MK	24993 	25342 	26834 	26060 
A,NR,TOTAL,F,ED64,MT	3294 bd	3617 	3999 	3937 
A,NR,TOTAL,F,ED64,NL	122808 	125517 	128841 	130849 
A,NR,TOTAL,F,ED64,NO	119413 	120138 	115461 	115631 
A,NR,TOTAL,F,ED64,PL	364343 	363045 	378777 	398756 
A,NR,TOTAL,F,ED64,PT	: d	: d	: d	: d
A,NR,TOTAL,F,ED64,RO	: d	: d	: d	: d
A,NR,TOTAL,F,ED64,RS	82528 	82132 	85795 	86146 
A,NR,TOTAL,F,ED64,SE	: m	: m	: m	: m
A,NR,TOTAL,F,ED64,SI	14691 	14361 	13801 	13741 
A,NR,TOTAL,F,ED64,SK	: d	: d	: d	: d
A,NR,TOTAL,F,ED64,TR	: m	: m	: m	: m
A,NR,TOTAL,F,ED65,AL	: d	: d	: d	: d
A,NR,TOTAL,F,ED65,AT	: m	: m	: m	: m
A,NR,TOTAL,F,ED65,BA	: m	: m	: m	: m
A,NR,TOTAL,F,ED65,BE	134336 	133094 	130885 	128531 
A,NR,TOTAL,F,ED65,BG	4175 	4252 	4011 	3687 bd
A,NR,TOTAL,F,ED65,CH	24364 	24922 	24295 	24082 
A,NR,TOTAL,F,ED65,CY	: m	: m	: m	: m
A,NR,TOTAL,F,ED65,CZ	13894 	15421 	15939 	16778 
A,NR,TOTAL,F,ED65,DE	143863 	148184 	146776 	137671 
A,NR,TOTAL,F,ED65,DK	72489 	74337 	71013 	68849 
A,NR,TOTAL,F,ED65,EE	: m	: m	: m	: m
A,NR,TOTAL,F,ED65,EL	60340 	61083 	54186 	48056 
A,NR,TOTAL,F,ED65,ES	: d	: d	: d	: d
A,NR,TOTAL,F,ED65,FI	: d	: m	: m	: m
A,NR,TOTAL,F,ED65,FR	210809 	249567 	276890 	284857 
A,NR,TOTAL,F,ED65,GE	: 	: 	: m	: m
A,NR,TOTAL,F,ED65,HR	19139 	18430 	17679 	16691 
A,NR,TOTAL,F,ED65,HU	: d	: d	: d	: d
A,NR,TOTAL,F,ED65,IE	: d	: d	: d	: d
A,NR,TOTAL,F,ED65,IS	: d	: d	: d	: 
A,NR,TOTAL,F,ED65,IT	: m	: m	: m	: m
A,NR,TOTAL,F,ED65,LI	0 	0 	: 	: 
A,NR,TOTAL,F,ED65,LT	18799 	18663 	17853 	17252 
A,NR,TOTAL,F,ED65,LU	724 	799 	808 	877 
A,NR,TOTAL,F,ED65,LV	13255 	12959 	12377 	11855 
A,NR,TOTAL,F,ED65,ME	1353 	: 	1179 	1042 
A,NR,TOTAL,F,ED65,MK	4489 	4516 	4135 	4644 
A,NR,TOTAL,F,ED65,MT	2024 bd	2016 	2263 	2344 
A,NR,TOTAL,F,ED65,NL	261397 	257819 	250214 	239966 
A,NR,TOTAL,F,ED65,NO	: m	: m	: m	: m
A,NR,TOTAL,F,ED65,PL	125898 	135940 	111657 	116550 
A,NR,TOTAL,F,ED65,PT	: d	: d	: d	: d
A,NR,TOTAL,F,ED65,RO	: d	: d	: d	: d
A,NR,TOTAL,F,ED65,RS	18365 	18967 	19389 	20479 
A,NR,TOTAL,F,ED65,SE	: m	: m	: m	: m
A,NR,TOTAL,F,ED65,SI	12521 	12446 	12395 	12622 
A,NR,TOTAL,F,ED65,SK	: d	: d	: d	: d
A,NR,TOTAL,F,ED65,TR	: m	: m	: m	: m
A,NR,TOTAL,F,ED7,AL	27621 	29159 	28775 d	29140 
A,NR,TOTAL,F,ED7,AT	77786 	80490 	82644 	86443 
A,NR,TOTAL,F,ED7,BA	14880 	14559 	14438 	14353 
A,NR,TOTAL,F,ED7,BE	65783 	68830 	70371 	68358 
A,NR,TOTAL,F,ED7,BG	42898 	44757 	44227 	38305 bd
A,NR,TOTAL,F,ED7,CH	42278 	44632 	44596 	45932 
A,NR,TOTAL,F,ED7,CY	17325 	18127 	17070 	19563 
A,NR,TOTAL,F,ED7,CZ	64509 	66840 	65917 	66334 
A,NR,TOTAL,F,ED7,DE	609172 	621813 	622659 	621721 
A,NR,TOTAL,F,ED7,DK	39272 	38946 	38797 	38964 
A,NR,TOTAL,F,ED7,EE	9597 	9560 	9441 	9426 
A,NR,TOTAL,F,ED7,EL	58395 	64304 	66219 	67229 
A,NR,TOTAL,F,ED7,ES	223861 	236655 	253923 	262967 
A,NR,TOTAL,F,ED7,FI	45219 	47882 	50267 	52995 
A,NR,TOTAL,F,ED7,FR	528352 	544168 	540580 	549128 
A,NR,TOTAL,F,ED7,GE	: 	: 	: d	: d
A,NR,TOTAL,F,ED7,HR	40749 	41311 	41049 	40327 
A,NR,TOTAL,F,ED7,HU	46358 	48440 	47684 	49192 
A,NR,TOTAL,F,ED7,IE	23938 	23800 	23342 	23306 
A,NR,TOTAL,F,ED7,IS	4101 	4135 	3716 	: 
A,NR,TOTAL,F,ED7,IT	474228 	485217 	498572 	529291 
A,NR,TOTAL,F,ED7,LI	122 	119 	: 	: 
A,NR,TOTAL,F,ED7,LT	17494 	17679 	17468 	17000 
A,NR,TOTAL,F,ED7,LU	1499 	1465 	1598 	1655 
A,NR,TOTAL,F,ED7,LV	11257 	10954 	9816 	10018 
A,NR,TOTAL,F,ED7,ME	2047 	: 	2930 	3067 
A,NR,TOTAL,F,ED7,MK	2261 	2342 	2186 	2102 
A,NR,TOTAL,F,ED7,MT	3581 	3698 	4143 	4123 
A,NR,TOTAL,F,ED7,NL	112439 	115385 	107243 	105490 
A,NR,TOTAL,F,ED7,NO	55669 	59892 	60045 	61680 
A,NR,TOTAL,F,ED7,PL	288660 	300828 	303723 	314123 
A,NR,TOTAL,F,ED7,PT	71566 	66693 	67686 	67354 
A,NR,TOTAL,F,ED7,RO	108495 	107645 	102444 	104375 
A,NR,TOTAL,F,ED7,RS	31952 	33438 	33476 	33947 
A,NR,TOTAL,F,ED7,SE	89808 	91642 	89404 	90579 
